|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00010347798524890095, "x": 0.0003407061449252069, "z": 0.000958455610089004}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": 0.0}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.04}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209387737} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00013124172983225435, "x": 0.0003778938844334334, "z": 0.0010218826355412602}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.01}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.03}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209388742} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00016954998136498034, "x": 0.0004113241157028824, "z": 0.00111641944386065}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.019}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.02}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209389743} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0001834552240325138, "x": 0.00043887915671803057, "z": 0.0012165853986516595}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.025}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.02}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209390747} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00021276379993651062, "x": 0.00047643858124502003, "z": 0.0013232455821707845}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.031}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209391749} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00027886952739208937, "x": 0.0005127983749844134, "z": 0.0014108197065070271}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.036}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209392750} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00030968975625000894, "x": 0.0005393580649979413, "z": 0.0015143800992518663}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.04}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209393751} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0003486697969492525, "x": 0.0005593943642452359, "z": 0.0016220426186919212}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.043}, "velocity": {"y": 0.0, "x": 0.0, "z": -0.01}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209394754} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.00038832309655845165, "x": 0.0005883426638320088, "z": 0.0017259696032851934}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.046}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209395756} |
|   INFO | state_out_work:96 | {"data": {"status": "STANDBY", "batterystatus": {"current": 0.0, "voltage": 12.587, "level": 100}, "groundspeed": 0.0, "attitude": {"y": 0.0003988996904809028, "x": 0.0006019893335178494, "z": 0.001806355081498623}, "armed": false, "armable": false, "airspeed": 0.0, "location": {"y": -86.241855, "x": 41.714521, "z": -0.048}, "velocity": {"y": 0.0, "x": 0.0, "z": 0.0}, "heading": 0, "mode": "STABILIZE"}, "groundstationid": "simplegcs", "type": "state", "uavid": "drone0", "sendtimestamp": 1547209396757} |
